packet_number,gsmtap_antenna,gsmtap_arfcn,gsmtap_frame_nr,gsmtap_hdr_len,gsmtap_pcs_band,gsmtap_rrc_sub_type,gsmtap_signal_dbm,gsmtap_snr_db,gsmtap_sub_slot,gsmtap_ts,gsmtap_type,gsmtap_uplink,gsmtap_version,nas_eps,nas_eps_3gpp_tmsi,nas_eps__ws_expert_group,nas_eps__ws_expert_severity,nas_eps_bearer_id,nas_eps_common_elem_id,nas_eps_e212_assoc_imsi,nas_eps_e212_gummei_mcc,nas_eps_e212_gummei_mnc,nas_eps_e212_imsi,nas_eps_e212_mcc,nas_eps_e212_mnc,nas_eps_e212_tai_mcc,nas_eps_e212_tai_mnc,nas_eps_emm_128_5g_ea1,nas_eps_emm_128_5g_ea2,nas_eps_emm_128_5g_ea3,nas_eps_emm_128_5g_ia1,nas_eps_emm_128_5g_ia2,nas_eps_emm_128_5g_ia3,nas_eps_emm_128eea1,nas_eps_emm_128eea2,nas_eps_emm_128eia1,nas_eps_emm_128eia2,nas_eps_emm_15_bearers,nas_eps_emm_15_bearers_cap,nas_eps_emm_1xsrvcc_cap,nas_eps_emm_5g_ea0,nas_eps_emm_5g_ea10,nas_eps_emm_5g_ea11,nas_eps_emm_5g_ea12,nas_eps_emm_5g_ea13,nas_eps_emm_5g_ea14,nas_eps_emm_5g_ea15,nas_eps_emm_5g_ea4,nas_eps_emm_5g_ea5,nas_eps_emm_5g_ea6,nas_eps_emm_5g_ea7,nas_eps_emm_5g_ea8,nas_eps_emm_5g_ea9,nas_eps_emm_5g_ia0,nas_eps_emm_5g_ia10,nas_eps_emm_5g_ia11,nas_eps_emm_5g_ia12,nas_eps_emm_5g_ia13,nas_eps_emm_5g_ia14,nas_eps_emm_5g_ia15,nas_eps_emm_5g_ia4,nas_eps_emm_5g_ia5,nas_eps_emm_5g_ia6,nas_eps_emm_5g_ia7,nas_eps_emm_5g_ia8,nas_eps_emm_5g_ia9,nas_eps_emm_acc_csfb_cap,nas_eps_emm_active_flg,nas_eps_emm_cause,nas_eps_emm_cp_backoff_cap,nas_eps_emm_cp_ciot,nas_eps_emm_cp_ciot_cap,nas_eps_emm_dcnr_cap,nas_eps_emm_detach_req_ul,nas_eps_emm_detach_type_ul,nas_eps_emm_ebi0,nas_eps_emm_ebi1,nas_eps_emm_ebi10,nas_eps_emm_ebi11,nas_eps_emm_ebi12,nas_eps_emm_ebi13,nas_eps_emm_ebi14,nas_eps_emm_ebi15,nas_eps_emm_ebi2,nas_eps_emm_ebi3,nas_eps_emm_ebi4,nas_eps_emm_ebi5,nas_eps_emm_ebi6,nas_eps_emm_ebi7,nas_eps_emm_ebi8,nas_eps_emm_ebi9,nas_eps_emm_eea0,nas_eps_emm_eea3,nas_eps_emm_eea4,nas_eps_emm_eea5,nas_eps_emm_eea6,nas_eps_emm_eea7,nas_eps_emm_eia0,nas_eps_emm_eia3,nas_eps_emm_eia4,nas_eps_emm_eia5,nas_eps_emm_eia6,nas_eps_emm_elem_id,nas_eps_emm_emc_bs,nas_eps_emm_emm_ucs2_supp,nas_eps_emm_epc_lcs,nas_eps_emm_epco,nas_eps_emm_epco_cap,nas_eps_emm_eps_att_type,nas_eps_emm_eps_attach_result,nas_eps_emm_eps_update_result_value,nas_eps_emm_eps_upip,nas_eps_emm_er_wo_pdn,nas_eps_emm_er_wo_pdn_cap,nas_eps_emm_esm_msg_cont,nas_eps_emm_esr_ps,nas_eps_emm_gea1,nas_eps_emm_gea2,nas_eps_emm_gea3,nas_eps_emm_gea4,nas_eps_emm_gea5,nas_eps_emm_gea6,nas_eps_emm_gea7,nas_eps_emm_guti_type,nas_eps_emm_h245_ash_cap,nas_eps_emm_hash_mme,nas_eps_emm_hc_cp_ciot,nas_eps_emm_hc_cp_ciot_cap,nas_eps_emm_imeisv_req,nas_eps_emm_ims_vops,nas_eps_emm_iwkn26,nas_eps_emm_lcs_cap,nas_eps_emm_lpp_cap,nas_eps_emm_m_tmsi,nas_eps_emm_mme_code,nas_eps_emm_mme_grp_id,nas_eps_emm_multiple_drb_cap,nas_eps_emm_n1mode_cap,nas_eps_emm_nas_key_set_id,nas_eps_emm_nf_cap,nas_eps_emm_odd_even,nas_eps_emm_prose_cap,nas_eps_emm_prose_dc_cap,nas_eps_emm_prose_dd_cap,nas_eps_emm_prose_relay_cap,nas_eps_emm_replayed_nas_msg_cont,nas_eps_emm_res,nas_eps_emm_restrict_dcnr,nas_eps_emm_restrict_ec,nas_eps_emm_restrict_ec_cap,nas_eps_emm_s1_u_data,nas_eps_emm_s1u_data_cap,nas_eps_emm_sgc_cap,nas_eps_emm_short_mac,nas_eps_emm_switch_off,nas_eps_emm_tai_tac,nas_eps_emm_tai_tol,nas_eps_emm_toi,nas_eps_emm_tsc,nas_eps_emm_type_of_id,nas_eps_emm_ue_ra_cap_inf_upd_need_flg,nas_eps_emm_uea0,nas_eps_emm_uea1,nas_eps_emm_uea2,nas_eps_emm_uea3,nas_eps_emm_uea4,nas_eps_emm_uea5,nas_eps_emm_uea6,nas_eps_emm_uea7,nas_eps_emm_uia1,nas_eps_emm_uia2,nas_eps_emm_uia3,nas_eps_emm_uia4,nas_eps_emm_uia5,nas_eps_emm_uia6,nas_eps_emm_uia7,nas_eps_emm_up_ciot,nas_eps_emm_up_ciot_cap,nas_eps_emm_update_type_value,nas_eps_emm_v2x_pc5_cap,nas_eps_esm_apn_ambr_dl,nas_eps_esm_apn_ambr_dl_ext,nas_eps_esm_apn_ambr_dl_ext2,nas_eps_esm_apn_ambr_dl_total,nas_eps_esm_apn_ambr_ul,nas_eps_esm_apn_ambr_ul_ext,nas_eps_esm_apn_ambr_ul_ext2,nas_eps_esm_apn_ambr_ul_total,nas_eps_esm_cause,nas_eps_esm_eit,nas_eps_esm_elem_id,nas_eps_esm_pdn_ipv4,nas_eps_esm_pdn_type,nas_eps_esm_proc_trans_id,nas_eps_esm_qci,nas_eps_esm_request_type,nas_eps_gsm_a_a5_1_algorithm_sup,nas_eps_gsm_a_a5_2_algorithm_sup,nas_eps_gsm_a_a5_3_algorithm_sup,nas_eps_gsm_a_a5_4_algorithm_sup,nas_eps_gsm_a_a5_5_algorithm_sup,nas_eps_gsm_a_a5_6_algorithm_sup,nas_eps_gsm_a_a5_7_algorithm_sup,nas_eps_gsm_a_classmark3_8_psk_multislot_power_prof,nas_eps_gsm_a_classmark3_8_psk_struct_present,nas_eps_gsm_a_classmark3_a5_bits,nas_eps_gsm_a_classmark3_additional_positioning_caps,nas_eps_gsm_a_classmark3_ass_radio_cap1,nas_eps_gsm_a_classmark3_ass_radio_cap2,nas_eps_gsm_a_classmark3_cdma_2000_rat_cap,nas_eps_gsm_a_classmark3_ciphering_mode_setting_cap,nas_eps_gsm_a_classmark3_downlink_adv_receiver_perf,nas_eps_gsm_a_classmark3_dtm_e_gprs_high_mutli_slot_info_present,nas_eps_gsm_a_classmark3_dtm_e_gprs_multi_slot_info_present,nas_eps_gsm_a_classmark3_dtm_enhancements_capability,nas_eps_gsm_a_classmark3_e_utra_fdd_support,nas_eps_gsm_a_classmark3_e_utra_meas_and_report_support,nas_eps_gsm_a_classmark3_e_utra_tdd_support,nas_eps_gsm_a_classmark3_ecsd_multi_slot_capability,nas_eps_gsm_a_classmark3_egsmsupported,nas_eps_gsm_a_classmark3_er_band_support,nas_eps_gsm_a_classmark3_eutra_mfbi_support,nas_eps_gsm_a_classmark3_eutra_wb_rsrq_support,nas_eps_gsm_a_classmark3_ext_dtm_e_gprs_info_present,nas_eps_gsm_a_classmark3_ext_earfcn_value_range,nas_eps_gsm_a_classmark3_ext_meas_cap,nas_eps_gsm_a_classmark3_ext_tsc_set_cap_support,nas_eps_gsm_a_classmark3_geran_feature_package_1,nas_eps_gsm_a_classmark3_geran_feature_package_2,nas_eps_gsm_a_classmark3_geran_iu_mode_support,nas_eps_gsm_a_classmark3_geran_network_sharing_support,nas_eps_gsm_a_classmark3_gmsk_multislot_power_prof,nas_eps_gsm_a_classmark3_gsm1800supported,nas_eps_gsm_a_classmark3_gsm_1900_assoc_radio_cap,nas_eps_gsm_a_classmark3_gsm_1900_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_gsm_400_band_info_present,nas_eps_gsm_a_classmark3_gsm_710_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_gsm_750_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_gsm_850_assoc_radio_cap,nas_eps_gsm_a_classmark3_gsm_850_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_high_multislot_cap_present,nas_eps_gsm_a_classmark3_ms_assisted_e_otd,nas_eps_gsm_a_classmark3_ms_assisted_gps,nas_eps_gsm_a_classmark3_ms_based_e_otd,nas_eps_gsm_a_classmark3_ms_based_gps,nas_eps_gsm_a_classmark3_ms_conventional_gps,nas_eps_gsm_a_classmark3_ms_measurement_capability,nas_eps_gsm_a_classmark3_ms_pos_method,nas_eps_gsm_a_classmark3_ms_pos_method_cap_present,nas_eps_gsm_a_classmark3_multislot_capabilities,nas_eps_gsm_a_classmark3_pgsmsupported,nas_eps_gsm_a_classmark3_prio_based_resel_support,nas_eps_gsm_a_classmark3_repeated_acch_cap,nas_eps_gsm_a_classmark3_rsupport,nas_eps_gsm_a_classmark3_selective_ciph_down_sacch,nas_eps_gsm_a_classmark3_single_band_support,nas_eps_gsm_a_classmark3_t_gsm_810_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_t_gsm_900_assoc_radio_cap_present,nas_eps_gsm_a_classmark3_tighter_cap,nas_eps_gsm_a_classmark3_umts_128_mcps_tdd_rat_cap,nas_eps_gsm_a_classmark3_umts_384_mcps_tdd_rat_cap,nas_eps_gsm_a_classmark3_umts_fdd_rat_cap,nas_eps_gsm_a_classmark3_utra_csg_cells_reporting,nas_eps_gsm_a_classmark3_utra_mfbi_support,nas_eps_gsm_a_classmark3_vamos_level,nas_eps_gsm_a_cm3,nas_eps_gsm_a_cmsp,nas_eps_gsm_a_common_elem_id,nas_eps_gsm_a_dtap_add_ci,nas_eps_gsm_a_dtap_autn,nas_eps_gsm_a_dtap_autn_amf,nas_eps_gsm_a_dtap_autn_mac,nas_eps_gsm_a_dtap_autn_sqn_xor_ak,nas_eps_gsm_a_dtap_bitmap_length,nas_eps_gsm_a_dtap_codec_fr_amr,nas_eps_gsm_a_dtap_codec_fr_amr_wb,nas_eps_gsm_a_dtap_codec_gsm_efr,nas_eps_gsm_a_dtap_codec_gsm_fr,nas_eps_gsm_a_dtap_codec_gsm_hr,nas_eps_gsm_a_dtap_codec_hr_amr,nas_eps_gsm_a_dtap_codec_ofr_amr_wb,nas_eps_gsm_a_dtap_codec_ohr_amr,nas_eps_gsm_a_dtap_codec_ohr_amr_wb,nas_eps_gsm_a_dtap_codec_pdc_efr,nas_eps_gsm_a_dtap_codec_tdma_efr,nas_eps_gsm_a_dtap_codec_umts_amr,nas_eps_gsm_a_dtap_codec_umts_amr_2,nas_eps_gsm_a_dtap_codec_umts_amr_wb,nas_eps_gsm_a_dtap_codec_umts_evs,nas_eps_gsm_a_dtap_coding_scheme,nas_eps_gsm_a_dtap_elem_id,nas_eps_gsm_a_dtap_rand,nas_eps_gsm_a_dtap_sysid,nas_eps_gsm_a_dtap_text_string,nas_eps_gsm_a_dtap_time_zone_time,nas_eps_gsm_a_dtap_timezone,nas_eps_gsm_a_es_ind,nas_eps_gsm_a_ext_periodic_timers,nas_eps_gsm_a_extension,nas_eps_gsm_a_fc_frequency_cap,nas_eps_gsm_a_filler,nas_eps_gsm_a_gm_elem_id,nas_eps_gsm_a_gm_gmm_gprs_timer,nas_eps_gsm_a_gm_gmm_gprs_timer_unit,nas_eps_gsm_a_gm_gmm_gprs_timer_value,nas_eps_gsm_a_gm_gmm_net_cap_comb_proc,nas_eps_gsm_a_gm_gmm_net_cap_epc,nas_eps_gsm_a_gm_gmm_net_cap_ext_gea_bits,nas_eps_gsm_a_gm_gmm_net_cap_gea1,nas_eps_gsm_a_gm_gmm_net_cap_gea2,nas_eps_gsm_a_gm_gmm_net_cap_gea3,nas_eps_gsm_a_gm_gmm_net_cap_gea4,nas_eps_gsm_a_gm_gmm_net_cap_gea5,nas_eps_gsm_a_gm_gmm_net_cap_gea6,nas_eps_gsm_a_gm_gmm_net_cap_gea7,nas_eps_gsm_a_gm_gmm_net_cap_geran_net_sharing,nas_eps_gsm_a_gm_gmm_net_cap_isr,nas_eps_gsm_a_gm_gmm_net_cap_lcs,nas_eps_gsm_a_gm_gmm_net_cap_nf,nas_eps_gsm_a_gm_gmm_net_cap_pfc,nas_eps_gsm_a_gm_gmm_net_cap_ps_irat_iu,nas_eps_gsm_a_gm_gmm_net_cap_ps_irat_s1,nas_eps_gsm_a_gm_gmm_net_cap_rev,nas_eps_gsm_a_gm_gmm_net_cap_smdch,nas_eps_gsm_a_gm_gmm_net_cap_smgprs,nas_eps_gsm_a_gm_gmm_net_cap_solsa,nas_eps_gsm_a_gm_gmm_net_cap_srvcc_to_geran,nas_eps_gsm_a_gm_gmm_net_cap_ss_scr_ind,nas_eps_gsm_a_gm_gmm_net_cap_ucs2,nas_eps_gsm_a_gm_gmm_split_on_ccch,nas_eps_gsm_a_gm_gmm_split_pg_cycle_code,nas_eps_gsm_a_gm_gmm_tmsi_flag,nas_eps_gsm_a_gm_gmm_ue_usage_setting,nas_eps_gsm_a_gm_gmm_voice_domain_pref_for_eutran,nas_eps_gsm_a_gm_sm_apn,nas_eps_gsm_a_gm_sm_ext,nas_eps_gsm_a_gm_sm_link_dir,nas_eps_gsm_a_gm_sm_pco_dns_ipv4,nas_eps_gsm_a_gm_sm_pco_ipv4_link_mtu_size,nas_eps_gsm_a_gm_sm_pco_length,nas_eps_gsm_a_gm_sm_pco_pdu_session_id,nas_eps_gsm_a_gm_sm_pco_pid,nas_eps_gsm_a_ie_mobileid_type,nas_eps_gsm_a_imeisv,nas_eps_gsm_a_l3_protocol_discriminator,nas_eps_gsm_a_lcs_va_cap,nas_eps_gsm_a_len,nas_eps_gsm_a_msc_rev,nas_eps_gsm_a_multi_bnd_sup_fields,nas_eps_gsm_a_oddevenind,nas_eps_gsm_a_ps_sup_cap,nas_eps_gsm_a_rf_power_capability,nas_eps_gsm_a_sm_cap,nas_eps_gsm_a_solsa,nas_eps_gsm_a_ss_screening_indicator,nas_eps_gsm_a_ucs2_treatment,nas_eps_gsm_a_vbs_notification_rec,nas_eps_gsm_a_vgcs_notification_rec,nas_eps_ipcp_opt_length,nas_eps_ipcp_opt_pri_dns,nas_eps_ipcp_opt_pri_dns_address,nas_eps_ipcp_opt_sec_dns,nas_eps_ipcp_opt_sec_dns_address,nas_eps_ipcp_opt_type,nas_eps_msg_auth_code,nas_eps_nas_msg_emm_type,nas_eps_nas_msg_esm_type,nas_eps_ppp_code,nas_eps_ppp_length,nas_eps_security_header_type,nas_eps_seq_no,nas_eps_seq_no_short,nas_eps_spare_bits
1,0,0,0,16,0,-1,0,0,0,0,18,0,2,1,3221226142,-1,-1,-1,-1,-1,001,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221226142,1,2,-1,-1,4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x45,-1,-1,-1,-1,-1,-1,-1
2,0,0,0,16,0,-1,0,0,0,0,18,0,2,1,3221226142,-1,-1,-1,-1,-1,001,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221226142,1,2,-1,-1,4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x5947c444,0x45,-1,-1,-1,2,12,-1,-1
3,0,3666,0,16,0,-1,0,0,0,0,13,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0,0,16,0,-1,0,0,0,0,18,0,2,1,3221226142,150994944,4194304,-1,0x11,-1,001,01,-1,-1,-1,001,01,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0x52,-1,0,-1,-1,1,2,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,1,3221226142,1,2,0,1,4,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,7,-1,-1,0,6,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,29,-1,1,0,0,1,0,0,0,0,3,0,0x00,0,4,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0x01,1,0,0,0,0x04,1,0,0,1,0,1,1,0,0x07,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0x0d,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0x40,-1,0x04,-1,-1,-1,1,1,-1,0,-1,0x27,-1,-1,-1,1,1,0x30,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0x01,0,0,10,0,1,3,-1,1,-1,-1,-1,0x10,1,0x8021,-1,-1,0x07,1,11,2,6,-1,1,7,1,0,1,0,0,0,6,81:06:00:00:00:00,0.0.0.0,83:06:00:00:00:00,0.0.0.0,129,-1,0x41,0xd0,1,16,-1,-1,-1,0x00
10,0,0,0,16,0,-1,0,0,0,0,18,0,2,1,3221226142,150994944,4194304,-1,0x11,-1,001,01,-1,-1,-1,001,01,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0,0x52,-1,0,-1,-1,1,2,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,1,3221226142,1,2,0,1,4,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,7,-1,-1,0,6,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,29,-1,1,0,0,1,0,0,0,0,3,0,0x00,0,4,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0x01,1,0,0,0,0x04,1,0,0,1,0,1,1,0,0x07,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0x0d,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0x40,-1,0x04,-1,-1,-1,1,1,-1,0,-1,0x27,-1,-1,-1,1,1,0x30,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0x01,0,0,10,0,1,3,-1,1,-1,-1,-1,0x10,1,0x8021,-1,-1,0x07,1,11,2,6,-1,1,7,1,0,1,0,0,0,6,81:06:00:00:00:00,0.0.0.0,83:06:00:00:00:00,0.0.0.0,129,0xac3a027d,0x41,0xd0,1,16,1,13,-1,0x00
13,0,3666,0,16,0,-1,0,0,0,0,13,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
